"state","state_abbr","oppose_expansion","gop_governor","percent_favorable_aca","percent_favorable_aca_original_scale","percent_supporting_expansion","percent_supporting_tea_party","obama_share","obama_win","ideology","gop_house","gop_sen","gop_leg","percent_uninsured","percent_uninsured_original_scale","dsh","percent_nonwhite","bal2012","percent_poverty","percent_poverty138","percent_metro","multiplier","low_birthweight","infant_mortality_rate","cancer_incidence","heart_disease_death_rate","life_expectancy"
"Oklahoma","OK",1,0.4,-0.773131062968708,30.9578750918355,-0.212275008532082,0.790576110835725,-0.760680429284724,-0.52,0.774446352225577,0.42,0.4,0.46,0.321594173280569,17,-0.388427575659861,0.18300918066606,-0.04869638751518,0.141892851590316,0.137987737282379,-0.186856878238103,0.0959406901243035,0.374661410665064,0.464401689124692,0.09002545165801,1.00002487699809,-0.833802757481235
"Oregon","OR",0,-0.6,0.0653745280368895,45.5832591683007,0.471778603872439,0.0154835482640254,0.339996404474834,0.48,-0.239530864752121,-0.58,-0.6,-0.54,0.0779622238255925,15,-0.353997219593891,-0.227183810482005,-0.193641942926284,0.0105105815992825,0.0350118139373201,0.0890170020672579,0.214049494254601,-0.724510490925131,-0.621190516278717,-0.206355214972344,-0.639829857596661,0.252978533949772
"Pennsylvania","PA",0,0.4,0.0789153138365995,45.819440292365,-0.470462821660819,-0.387825965907457,0.170944211574604,0.48,-0.081868439124931,0.42,0.4,0.46,-0.40930167508436,11,0.172634555656145,-0.290290424504784,-0.173695306860536,-0.120871688391751,-0.170940032752798,0.223458210695007,-0.421920989523926,-0.215746138419257,0.255633957316344,0.624199908956905,0.187681627178285,-0.0489051581143972
"Rhode Island","RI",0,-0.6,0.530602381078717,53.6978574569609,0.218874833074828,-0.676154828186639,0.709965549605345,0.48,-0.746766388959713,-0.58,-0.6,-0.54,-0.287485700356872,12,0.464140985423171,-0.164077196459226,-0.0912492111221096,-0.120871688391751,-0.0679641094077391,0.728127687845846,-0.494603330527186,-0.50666677090682,-0.120147959938682,0.625923052367546,-0.14770490127429,0.373732010775441
"South Carolina","SC",1,0.4,0.00252505243165114,44.4870259057071,0.354625813293201,0.0439546585365772,-0.213097035288316,-0.52,0.202289757533145,0.42,0.4,0.46,0.321594173280569,17,0.585259108499476,0.15145587365467,0.0244412780592302,0.536039661563417,0.549891430662616,-0.157846129128099,0.786422929655276,0.514564956609856,0.506155235486362,-0.55787647074323,0.23655705092263,-0.50173069621065
"South Dakota","SD",1,0.4,-0.385613391987102,37.7170366708612,-0.631140419490094,0.27268688653502,-0.399870653538688,-0.52,0.577590549507817,0.42,0.4,0.46,-0.0438537509018957,14,-0.327235365837013,-0.416503652550342,-0.00481378817053391,-0.383636228373818,-0.376891879442917,-0.646672025686418,-0.431006282149333,-0.135637772312446,0.172126864593005,-0.788777687769204,-0.348262674570051,0.252978533949772
"Tennessee","TN",0,0.4,-0.434661862759062,36.8615233253355,-0.262255668372517,0.581616347524487,-0.453968204341013,-0.52,0.500134407540449,0.42,0.4,0.46,-0.0438537509018957,14,-0.239386785374955,-0.132523889447836,-0.0713025750563613,0.404657391572383,0.343939583972498,0.0543746312009597,0.286731835257862,0.231132764599275,0.63141587457137,0.286463800471151,0.700030896774178,-0.71304928065557
"Texas","TX",1,0.4,-0.0918623666268001,42.8407014559672,-0.134875130207133,0.285710696833302,-0.342046007814811,-0.52,0.299668551402026,0.42,0.4,0.46,1.17430599637299,24,0.0542130434341744,0.90873524192802,-0.0247604242362821,0.536039661563417,0.549891430662616,0.419981348352143,-0.1493622107617,0.572327975191797,-0.203655052662021,-0.454487866104735,0.0882454202501346,-0.0489051581143972
"Utah","UT",0,0.4,-1.12332866431138,24.8496577141183,-0.97956811139844,0.923303736413343,-1.1358220873737,-0.52,0.701512959988027,0.42,0.4,0.46,0.0779622238255925,15,-0.431091109307372,-0.321843731516174,-0.116514950138724,-0.515018498364852,-0.376891879442917,0.13524958634606,0.777337637029868,0.657093645336314,-0.704697609002056,-1.20577839314447,-0.550505807305272,0.464297118394691
"Vermont","VT",0,-0.6,0.62269962920853,55.3042362822573,0.0882129748186924,-0.715263507316627,0.912036853053925,0.48,-1.15868713217713,-0.58,-0.6,-0.54,-0.774749599266825,8,0.0419532734402278,-0.732036722664238,-0.144440240630772,-0.646400768355885,-0.582843726133035,-1.17096541323657,-0.340153355895258,-1.03998714768693,-0.579436969917047,0.339881246201041,-0.375228425601414,0.554862226013941
"Virginia","VA",1,0.4,0.150836594009432,47.0739058046787,0.666233035645721,0.0133617787879796,0.134424976797173,0.48,-0.0641036130569049,0.42,-0.6,-0.54,-0.165669725629384,13,-0.368744384832893,0.18300918066606,-0.12582338030274,-0.383636228373818,-0.479867802787976,0.355063908619798,-0.494603330527186,0.0286481122520826,0.255633957316344,-0.454487866104735,-0.124109869121847,0.102036687917687
"Washington","WA",0,-0.6,0.296428413902576,49.6133477680592,0.362890384254912,-0.200490439792783,0.404820047208548,0.48,-0.466166261031398,-0.58,-0.6,-0.54,-0.0438537509018957,14,-0.106425226671164,-0.00631066140227789,-0.226886336369198,-0.383636228373818,-0.273915956097857,0.534087374194925,-0.494603330527186,-0.578862630529947,-0.662944062640386,0.386406118288364,-0.410620973830077,0.373732010775441
"West Virginia","WV",0,-0.6,-0.856354929552562,29.5062675817918,-0.115123379938385,0.891107858016854,-0.612702774221369,-0.52,0.257385405834828,-0.58,-0.6,-0.54,0.0779622238255925,15,0.0490833121941344,-0.700483415652849,0.263800910848209,0.27327512158135,0.343939583972498,-0.434198313763982,0.859105270658536,-0.018907681771049,0.380894596401353,0.169290048547523,0.595538611527647,-0.984744603513319
"Wisconsin","WI",1,0.4,0.260764865297521,48.9912969415965,-0.158503132239427,-0.236389978533681,0.208413548785014,0.48,0.00777873726267614,0.42,0.4,0.46,-0.531117649811848,10,-0.274269997523994,-0.384950345538953,-0.172365531122819,-0.383636228373818,-0.479867802787976,0.0240404656695259,-0.131191625510885,-0.454370070455892,-0.120147959938682,NA,-0.181412090063493,0.403920379981856
"Wyoming","WY",1,0.4,-1.03692212739481,26.3567780036879,-0.535693436670741,1.01384018697332,-0.97028915344295,-0.52,0.579355400788295,0.42,0.4,0.46,0.321594173280569,17,-0.536502692617202,-0.479610266573122,0.438001532489077,-0.646400768355885,-0.582843726133035,-1.23947947411425,-0.494603330527186,0.398416363113426,0.0468662255079966,-0.423471284713186,-0.102200196408865,-0.109281896527232
